WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,
1,1987,Deportivo de La Coruña,Real Burgos,0-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Rafael Sanz Jiménez,José Luis Melo Peña,José Medina Urbaneja,Francisco Javier Eizmendi Urdangarín,Jorge Antelo Liste
0,1987,Real Burgos,Rayo Vallecano,0-0,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Miladin Pešterac,Rafael Sanz Jiménez,José María Bautista Monente,José Luis Melo Peña,Jorge Antelo Liste
0,1987,Real Burgos,Figueres,1-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Miladin Pešterac,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,José Medina Urbaneja,Rafael Sanz Jiménez,José María Bautista Monente,José Luis Melo Peña,Francisco Javier Eizmendi Urdangarín
0,1987,Cartagena,Real Burgos,0-0,Miguel González Bastón,José Antonio Blanco Álvarez,Eugenio Martínez de las Heras,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,José Alberto Ibáñez Martín,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Rafael Sanz Jiménez,Jorge Antelo Liste,José Luis Melo Peña,José Medina Urbaneja,Miladin Pešterac,Francisco Javier Eizmendi Urdangarín
0,1987,Real Burgos,Lleida,1-1,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Rafael Sanz Jiménez,Mirko Petrov,Jorge Antelo Liste,José Luis Melo Peña,Juan Manuel Mata Rodríguez,Pedro González Martínez,Francisco Javier Eizmendi Urdangarín
0,1987,Castilla,Real Burgos,2-2,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,Jorge Antelo Liste,Pedro Benito Zapata,Rafael Sanz Jiménez,Miladin Pešterac
0,1987,Real Burgos,Oviedo,0-1,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Miladin Pešterac,José Medina Urbaneja,Pedro Benito Zapata,Francisco Javier Eizmendi Urdangarín,Jorge Antelo Liste
0,1987,Elche,Real Burgos,4-1,Miguel González Bastón,José Antonio Blanco Álvarez,Eugenio Martínez de las Heras,Pedro Luis Tamayo Tornadijo,Miladin Pešterac,José María Bautista Monente,José Alberto Ibáñez Martín,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,Eduardo Vélez Díez,Jorge Antelo Liste,Pedro Benito Zapata,José Medina Urbaneja,Rafael Sanz Jiménez
0,1987,Real Burgos,CD Málaga,0-1,Miguel González Bastón,Miladin Pešterac,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Rafael Sanz Jiménez,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,Pedro Benito Zapata,Jorge Antelo Liste
0,1987,Tenerife,Real Burgos,2-1,Miguel González Bastón,Miladin Pešterac,José Antonio Blanco Álvarez,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Rafael Sanz Jiménez,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,Eduardo Vélez Díez,Pedro Benito Zapata,Pedro González Martínez,
1,1987,Racing de Santander,Real Burgos,1-2,Miguel González Bastón,Miladin Pešterac,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José Alberto Ibáñez Martín,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,Rafael Sanz Jiménez,Eduardo Vélez Díez,Pedro Benito Zapata,Pedro González Martínez
0,1987,Real Burgos,Barcelona Atlético,1-1,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Miladin Pešterac,Antonio Ruiz Vilches,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,José Antonio Blanco Álvarez,Rafael Sanz Jiménez,Pedro Benito Zapata,José Medina Urbaneja,Jorge Antelo Liste
1,1987,Castellón,Real Burgos,0-1,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Miladin Pešterac,Antonio Ruiz Vilches,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,José Antonio Blanco Álvarez,Jorge Antelo Liste,Pedro Benito Zapata,José Medina Urbaneja,Rafael Sanz Jiménez
0,1987,Real Burgos,Bilbao Athletic,1-2,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Miladin Pešterac,Antonio Ruiz Vilches,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Jorge Antelo Liste,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,Rafael Sanz Jiménez,José Antonio Blanco Álvarez,Pedro Benito Zapata,José Medina Urbaneja,Pedro González Martínez
0,1987,Sestao,Real Burgos,2-0,Miguel González Bastón,Miladin Pešterac,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Eduardo Vélez Díez,Pedro González Martínez,Pedro Benito Zapata,José Medina Urbaneja,Rafael Sanz Jiménez
1,1987,Real Burgos,Recreativo de Huelva,3-1,Pedro Benito Zapata,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Rafael Sanz Jiménez,Eduardo Vélez Díez,Alberto López Moreno,Francisco Javier Eizmendi Urdangarín,Pedro González Martínez,Miguel González Bastón,Jorge Antelo Liste
0,1987,Xerez,Real Burgos,2-0,Miguel González Bastón,Miladin Pešterac,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Eduardo Vélez Díez,Francisco Javier Eizmendi Urdangarín,Alberto López Moreno,José Medina Urbaneja,Rafael Sanz Jiménez,José Antonio Blanco Álvarez,Pedro Benito Zapata,Jorge Antelo Liste
1,1987,Real Burgos,Hércules,1-0,Pedro Benito Zapata,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Eduardo Vélez Díez,Alberto López Moreno,Francisco Javier Eizmendi Urdangarín,Emilio Gregorio Álvarez de Pablo,Miladin Pešterac,Miguel González Bastón,
1,1987,Granada,Real Burgos,0-1,Miguel González Bastón,Miladin Pešterac,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Rafael Sanz Jiménez,Eduardo Vélez Díez,José Alberto Ibáñez Martín,Alberto López Moreno,Federico Castaños Martínez,José Medina Urbaneja,Pedro Benito Zapata
0,1987,Real Burgos,Deportivo de La Coruña,1-1,Pedro Benito Zapata,Miladin Pešterac,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Rafael Sanz Jiménez,Eduardo Vélez Díez,Emilio Gregorio Álvarez de Pablo,Alberto López Moreno,Federico Castaños Martínez,Miguel González Bastón,José Antonio Blanco Álvarez
0,1987,Rayo Vallecano,Real Burgos,2-1,José Luis Melo Peña,José Medina Urbaneja,Eugenio Martínez de las Heras,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,Jorge Antelo Liste,Eduardo Vélez Díez,Alberto López Moreno,Federico Castaños Martínez,Pedro González Martínez,Pedro Benito Zapata,Rafael Sanz Jiménez,José Alberto Ibáñez Martín
1,1988,Deportivo Aragón,Real Burgos,0-1,Pedro Benito Zapata,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,Eduardo Vélez Díez,Pedro González Martínez,,,
0,1988,Mallorca,Real Burgos,2-0,Pedro Benito Zapata,Federico Castaños Martínez,Francisco José Abascal Alonso,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz,Fernando Arteaga Alzaga,Vicente Borge González,Francisco Javier Eizmendi Urdangarín,,,
0,1988,Real Burgos,Lleida,1-1,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Nikica Milenković,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Eduardo Vélez Díez,Francisco Javier Eizmendi Urdangarín,Vicente Borge González,,,
1,1988,Real Burgos,Deportivo Aragón,4-3,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Nikica Milenković,Antonio Ruiz Vilches,Pedro González Martínez,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,Francisco José Abascal Alonso,Eduardo Vélez Díez,,,
1,1988,Real Burgos,Castilla,2-0,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Nikica Milenković,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz,Fernando Arteaga Alzaga,Francisco Javier Eizmendi Urdangarín,Eduardo Vélez Díez,José Medina Urbaneja,Francisco José Abascal Alonso,José Luis Melo Peña,Pedro González Martínez,Vicente Borge González
0,1988,Figueres,Real Burgos,0-0,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Nikica Milenković,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz,Fernando Arteaga Alzaga,Francisco Javier Eizmendi Urdangarín,Eduardo Vélez Díez,Francisco José Abascal Alonso,José Luis Melo Peña,Federico Castaños Martínez,Vicente Borge González
0,1988,Real Burgos,Salamanca,0-1,Miguel González Bastón,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,Nikica Milenković,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,Vicente Borge González,Eduardo Vélez Díez,Francisco José Abascal Alonso,Pedro Benito Zapata,José Medina Urbaneja
0,1988,Sabadell,Real Burgos,2-1,Miguel González Bastón,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Enrique Magdaleno Díaz,Juan Manuel Mata Rodríguez,Eduardo Vélez Díez,Francisco Javier Eizmendi Urdangarín,Francisco José Abascal Alonso,José Medina Urbaneja,Federico Castaños Martínez,Pedro Benito Zapata,Vicente Borge González
1,1988,Mirandés,Real Burgos,1-2,Miguel González Bastón,José Medina Urbaneja,Pedro Luis Tamayo Tornadijo,Nikica Milenković,Antonio Ruiz Vilches,Pedro González Martínez,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz,Francisco José Abascal Alonso,Eduardo Vélez Díez,,,
0,1988,Real Burgos,Las Palmas,1-2,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Nikica Milenković,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,Francisco José Abascal Alonso,Vicente Borge González,Federico Castaños Martínez,José Luis Melo Peña,Eduardo Vélez Díez
1,1988,Real Burgos,Mirandés,5-1,Miguel González Bastón,Federico Castaños Martínez,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,Nikica Milenković,José María Bautista Monente,José Benito Blanco Vila,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Eduardo Vélez Díez,José Medina Urbaneja,Francisco José Abascal Alonso,,,
0,1988,Deportivo de La Coruña,Real Burgos,3-0,Miguel González Bastón,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,José Benito Blanco Vila,José Alberto Ibáñez Martín,Enrique Magdaleno Díaz,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Francisco Javier Eizmendi Urdangarín,Federico Castaños Martínez,Vicente Borge González,José Luis Melo Peña,Eduardo Vélez Díez,José Medina Urbaneja
0,1988,Real Burgos,Recreativo de Huelva,1-2,Miguel González Bastón,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,Nikica Milenković,Antonio Ruiz Vilches,José María Bautista Monente,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Luis Miguel Sánchez García,Francisco Javier Eizmendi Urdangarín,José Benito Blanco Vila,Francisco José Abascal Alonso,Pedro Benito Zapata,Faustino Balbino García Méndez,José Alberto Ibáñez Martín
0,1988,Sporting Mahonés,Real Burgos,3-1,Miguel González Bastón,Federico Castaños Martínez,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,Nikica Milenković,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,Luis Miguel Sánchez García,José Alberto Ibáñez Martín,José Benito Blanco Vila,,,
1,1988,Mollerussa,Real Burgos,0-1,Miguel González Bastón,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,Nikica Milenković,Antonio Ruiz Vilches,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Luis Miguel Sánchez García,Francisco Javier Eizmendi Urdangarín,José Benito Blanco Vila,Enrique Magdaleno Díaz,,,
0,1988,Real Burgos,Sestao,0-0,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz,Fernando Arteaga Alzaga,Luis Miguel Sánchez García,José Benito Blanco Vila,Francisco Javier Eizmendi Urdangarín,Francisco José Abascal Alonso,Pedro Benito Zapata,Pedro González Martínez
0,1988,Eibar,Real Burgos,0-0,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Fernando Arteaga Alzaga,Luis Miguel Sánchez García,José Alberto Ibáñez Martín,Enrique Magdaleno Díaz,Francisco José Abascal Alonso,Pedro Benito Zapata,José Benito Blanco Vila
0,1988,Real Burgos,Rayo Vallecano,1-1,Miguel González Bastón,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz,Fernando Arteaga Alzaga,Luis Miguel Sánchez García,Francisco Javier Eizmendi Urdangarín,José Benito Blanco Vila,José Alberto Ibáñez Martín,Francisco José Abascal Alonso,Pedro Benito Zapata,José Medina Urbaneja
0,1988,Xerez,Real Burgos,0-0,Miguel González Bastón,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,Nikica Milenković,Antonio Ruiz Vilches,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Fernando Arteaga Alzaga,Luis Miguel Sánchez García,José Benito Blanco Vila,José Alberto Ibáñez Martín,,,
1,1988,Real Burgos,Sporting Mahonés,4-0,Miguel González Bastón,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José Alberto Ibáñez Martín,José Benito Blanco Vila,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Luis Miguel Sánchez García,Federico Castaños Martínez,José María Bautista Monente,Pedro Benito Zapata,Francisco Javier Eizmendi Urdangarín,
1,1988,Real Burgos,Racing de Santander,1-0,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Luis Miguel Sánchez García,José Benito Blanco Vila,Mirko Petrov,José Alberto Ibáñez Martín,Pedro Benito Zapata,Francisco Javier Eizmendi Urdangarín
0,1988,Barcelona Atlético,Real Burgos,2-2,Miguel González Bastón,Federico Castaños Martínez,Antonio Ruiz Vilches,Nikica Milenković,Pedro Luis Tamayo Tornadijo,José María Bautista Monente,Faustino Balbino García Méndez,Mirko Petrov,Luis Miguel Sánchez García,Fernando Arteaga Alzaga,Francisco Javier Eizmendi Urdangarín,Enrique Magdaleno Díaz,José Alberto Ibáñez Martín,Pedro Benito Zapata,Francisco José Abascal Alonso,José Benito Blanco Vila
0,1988,Real Burgos,Tenerife,1-1,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,Faustino Balbino García Méndez,José Alberto Ibáñez Martín,Mirko Petrov,Fernando Arteaga Alzaga,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,Eduardo Vélez Díez,Pedro González Martínez,Pedro Benito Zapata,José Benito Blanco Vila,
0,1988,Castellón,Real Burgos,1-0,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Francisco José Abascal Alonso,José María Bautista Monente,Faustino Balbino García Méndez,José Alberto Ibáñez Martín,Luis Miguel Sánchez García,Mirko Petrov,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,José Benito Blanco Vila,Fernando Arteaga Alzaga,Pedro González Martínez,Pedro Benito Zapata,Eduardo Vélez Díez
0,1988,Real Burgos,Alzira,0-0,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José María Bautista Monente,Faustino Balbino García Méndez,Luis Miguel Sánchez García,Mirko Petrov,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,José Benito Blanco Vila,Juan Manuel Mata Rodríguez,Pedro González Martínez,Pedro Benito Zapata,Fernando Arteaga Alzaga
0,1988,Real Burgos,Mallorca,1-1,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Francisco José Abascal Alonso,José María Bautista Monente,Pedro González Martínez,José Benito Blanco Vila,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Enrique Magdaleno Díaz,Luis Miguel Sánchez García,Antonio Ruiz Vilches,Eduardo Vélez Díez,Pedro Benito Zapata,José Alberto Ibáñez Martín,Fernando Arteaga Alzaga
1,1988,Real Burgos,Mallorca,2-1,Miguel González Bastón,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,Antonio Ruiz Vilches,Pedro González Martínez,Faustino Balbino García Méndez,José Benito Blanco Vila,Luis Miguel Sánchez García,Enrique Magdaleno Díaz,Juan Manuel Mata Rodríguez,José María Bautista Monente,Federico Castaños Martínez,Pedro Benito Zapata,José Alberto Ibáñez Martín,Francisco Javier Eizmendi Urdangarín
0,1988,Mallorca,Real Burgos,2-0,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Francisco José Abascal Alonso,Antonio Ruiz Vilches,Pedro González Martínez,José Alberto Ibáñez Martín,Faustino Balbino García Méndez,José Benito Blanco Vila,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz,Fernando Arteaga Alzaga,José María Bautista Monente,Pedro Benito Zapata,Pedro Luis Tamayo Tornadijo,Francisco Javier Eizmendi Urdangarín
0,1988,Lleida,Real Burgos,3-0,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José María Bautista Monente,Faustino Balbino García Méndez,Luis Miguel Sánchez García,Enrique Magdaleno Díaz,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,José Alberto Ibáñez Martín,Pedro González Martínez,José Benito Blanco Vila,Fernando Arteaga Alzaga,Pedro Benito Zapata
0,1988,Castilla,Real Burgos,2-0,Miguel González Bastón,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,Faustino Balbino García Méndez,Luis Miguel Sánchez García,Mirko Petrov,Fernando Arteaga Alzaga,Eduardo Vélez Díez,Francisco Javier Eizmendi Urdangarín,Pedro González Martínez,Enrique Magdaleno Díaz,José Luis Melo Peña,José Benito Blanco Vila,José Alberto Ibáñez Martín
0,1988,Real Burgos,Figueres,2-5,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Antonio Ruiz Vilches,José María Bautista Monente,Faustino Balbino García Méndez,José Benito Blanco Vila,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz,Mirko Petrov,Luis Miguel Sánchez García,Pedro González Martínez,Pedro Benito Zapata,Francisco Javier Eizmendi Urdangarín,Fernando Arteaga Alzaga
0,1988,Salamanca,Real Burgos,0-0,Miguel González Bastón,Federico Castaños Martínez,Nikica Milenković,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Fernando Arteaga Alzaga,Luis Miguel Sánchez García,Eduardo Vélez Díez,Pedro González Martínez,Pedro Benito Zapata,José Benito Blanco Vila,Enrique Magdaleno Díaz
1,1988,Real Burgos,Sabadell,1-0,Miguel González Bastón,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José María Bautista Monente,Faustino Balbino García Méndez,José Benito Blanco Vila,Juan Manuel Mata Rodríguez,Enrique Magdaleno Díaz,Eduardo Vélez Díez,Luis Miguel Sánchez García,Pedro González Martínez,José Alberto Ibáñez Martín,Pedro Benito Zapata,José Medina Urbaneja,Mirko Petrov
1,1988,Las Palmas,Real Burgos,0-1,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,Pedro González Martínez,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Mirko Petrov,Luis Miguel Sánchez García,Francisco Javier Eizmendi Urdangarín,Enrique Magdaleno Díaz,Eduardo Vélez Díez,José Medina Urbaneja,Pedro Benito Zapata,José Benito Blanco Vila
1,1988,Real Burgos,Deportivo de La Coruña,1-0,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,Pedro González Martínez,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Mirko Petrov,Luis Miguel Sánchez García,Francisco Javier Eizmendi Urdangarín,Nikica Milenković,Antonio Ruiz Vilches,Pedro Benito Zapata,Enrique Magdaleno Díaz,Eduardo Vélez Díez
0,1988,Recreativo de Huelva,Real Burgos,0-0,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José María Bautista Monente,Pedro González Martínez,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Mirko Petrov,Luis Miguel Sánchez García,Fernando Arteaga Alzaga,Francisco Javier Eizmendi Urdangarín,Antonio Ruiz Vilches,Nikica Milenković,José Luis Melo Peña,José Benito Blanco Vila,Eduardo Vélez Díez
1,1988,Real Burgos,Mollerussa,3-0,Miguel González Bastón,Nikica Milenković,Francisco José Abascal Alonso,Pedro González Martínez,José María Bautista Monente,Faustino Balbino García Méndez,Juan Manuel Mata Rodríguez,Fernando Arteaga Alzaga,Mirko Petrov,Luis Miguel Sánchez García,Francisco Javier Eizmendi Urdangarín,Eduardo Vélez Díez,Antonio Ruiz Vilches,José Luis Melo Peña,José Medina Urbaneja,José Benito Blanco Vila
0,1988,Sestao,Real Burgos,1-1,Miguel González Bastón,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,Francisco José Abascal Alonso,José María Bautista Monente,Pedro González Martínez,Mirko Petrov,Luis Miguel Sánchez García,Fernando Arteaga Alzaga,Eduardo Vélez Díez,Francisco Javier Eizmendi Urdangarín,Nikica Milenković,José Luis Melo Peña,Juan Manuel Mata Rodríguez,José Benito Blanco Vila,José Alberto Ibáñez Martín
