WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,
0,1985,Arosa,Real Burgos,1-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Gregorio García Fernández,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Juan Manuel Mata Rodríguez,José Manuel Molinero Caraballo,,,,
1,1985,Real Burgos,Lalín,2-1,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Gregorio García Fernández,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Manuel Molinero Caraballo,,,,
0,1985,Figueras,Real Burgos,2-0,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,José Manuel Molinero Caraballo,Francisco Javier Eizmendi Urdangarín,Jesús Sicilia Doménech,Eliseo Salamanca Franco,,,
1,1985,Real Burgos,Gimnástico de Tarragona,1-0,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Jesús Sicilia Doménech,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Antonio Blanco Álvarez,José Manuel Molinero Caraballo,,,
1,1985,Real Burgos,Osasuna,2-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,José Manuel Molinero Caraballo,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Federico Castaños Martínez,José Alberto Ibáñez Martín,,,
1,1985,Real Burgos,Hospitalet,2-1,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,José Manuel Molinero Caraballo,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Antonio Blanco Álvarez,José Alberto Ibáñez Martín,,,
1,1985,Barcelona Aficionados,Real Burgos,1-2,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,José Alberto Ibáñez Martín,,,,
0,1985,Real Burgos,Palencia CF,0-1,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,José Manuel Molinero Caraballo,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Alberto Ibáñez Martín,,,,
0,1985,Zaragoza,Real Burgos,1-0,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,José Esteban Martín Rodríguez,,,,
0,1985,Salamanca,Real Burgos,0-0,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,José Esteban Martín Rodríguez,Miguel Ángel Portugal Vicario,Francisco Javier Eizmendi Urdangarín,Jaime Arechavaleta Martínez de Quel,,,,
0,1985,Real Burgos,Zaragoza,1-2,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Juan Manuel Mata Rodríguez,José Manuel Molinero Caraballo,,,
1,1985,Binéfar,Real Burgos,0-3,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Juan Manuel Mata Rodríguez,,,,
1,1985,Real Burgos,Sporting Atlético,1-0,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Juan Manuel Mata Rodríguez,Federico Castaños Martínez,Jesús Sicilia Doménech,,,
