WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
1;1989;Lleida;Numancia;1-3;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;José Miguel Gómez Jiménez;Tomás Martínez Tejero;Antonio Calvo Coria;Chus Martínez González;Juan Félix Polvorosa Tejada;Juan Carlos Pérez Olano;Raúl Ortiz de Urbina Villapún;José Antonio Lucas Santolaya;José García Juárez;Fernando Fierro López;Valentín Arche Romero;;;;;
0;1989;Osasuna Promesas;Numancia;2-1;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;Francisco Rodríguez Gutiérrez;Chus Martínez González;Fernando Fierro López;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;José Rojo Martín;Cristóbal Rodríguez Hidalgo;;;;;
0;1989;Numancia;Cultural de Durango;0-0;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;José Rojo Martín;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;Valentín Arche Romero;Carlos Rodríguez Monzón;;;;;
0;1989;Andorra CF;Numancia;1-1;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;José Rojo Martín;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;Federico Castaños Martínez;Fernando Fierro López;;;;;
1;1989;Numancia;Mirandés;3-0;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;José Rojo Martín;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;Federico Castaños Martínez;Carlos Rodríguez Monzón;;;;;
0;1989;Numancia;Lemona;0-0;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;José Rojo Martín;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;Fernando Fierro López;;;;;;
0;1989;Santurtzi;Numancia;2-2;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Valentín Arche Romero;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;Fernando Fierro López;Cristóbal Rodríguez Hidalgo;;;;;
0;1989;Numancia;Teruel;0-0;Antonio Alfageme Bragado;Tomás Martínez Tejero;Cristóbal Rodríguez Hidalgo;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;Federico Castaños Martínez;Fernando Fierro López;;;;;
0;1989;San Sebastián;Numancia;1-0;Antonio Alfageme Bragado;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Fernando Fierro López;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;Juan Carlos Pérez Olano;José García Juárez;José Antonio Lucas Santolaya;Carlos Rodríguez Monzón;José Luis Melo Peña;Cristóbal Rodríguez Hidalgo;José Ángel Fernández Aláez;Federico Castaños Martínez;;
0;1989;Numancia;Mollerussa;0-0;Antonio Alfageme Bragado;Federico Castaños Martínez;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;Fernando Fierro López;Carlos Rodríguez Monzón;;;;;
0;1989;Binéfar;Numancia;0-0;Antonio Alfageme Bragado;Federico Castaños Martínez;Juan Carlos Bernad Esteban;Cristóbal Rodríguez Hidalgo;Antonio Calvo Coria;José Miguel Gómez Jiménez;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;Carlos Rodríguez Monzón;Fernando Fierro López;;;;;
