WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,
0,1971,Xerez,Rayo Vallecano,0-3,José Ramón García Fernández,Manuel Prieto Valenzuela,José Luis Hernández Martínez,Eduardo Beigveder Merino,Rafael Verdú Beramendi,Matías Miguel Tugores Ferrer,José Parra Espinar,Eduardo González Ruiz,Francisco Jiménez Martín,José Ravelo Rodríguez,Rafael Sánchez del Pozo,José Luis Domínguez Pérez,José Sánchez Benítez,,,,,,,,,
0,1971,Getafe Deportivo,Xerez,1-0,José Ramón García Fernández,Ernesto Fernández Pérez,José Luis Hernández Martínez,Rafael Verdú Beramendi,Eduardo González Ruiz,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,José Ravelo Rodríguez,José Luis Domínguez Pérez,Rafael Sánchez del Pozo,José Sánchez Benítez,Manuel Serrano Pichardo,Eduardo Beigveder Merino,,,,,,,,,
0,1971,Xerez,Oviedo,0-0,José Ramón García Fernández,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,José Luis Hernández Martínez,Eduardo Beigveder Merino,Rafael Verdú Beramendi,José Parra Espinar,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,José Ravelo Rodríguez,Rafael Sánchez del Pozo,José Luis Domínguez Pérez,Diego Vera Cuesta,,,,,,,,,
0,1971,Elche,Xerez,2-1,José Ramón García Fernández,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,José Luis Hernández Martínez,Eduardo Beigveder Merino,Rafael Verdú Beramendi,Matías Miguel Tugores Ferrer,José Parra Espinar,Francisco Jiménez Martín,José Ravelo Rodríguez,Rafael Sánchez del Pozo,José Luis Domínguez Pérez,,,,,,,,,,
1,1971,Xerez,Getafe Deportivo,3-1,Manuel Serrano Pichardo,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,José Luis Hernández Martínez,Rafael Verdú Beramendi,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,Francisco Jiménez Martín,Diego Vera Cuesta,José Benito Yáñiz Goñi,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Luis Domínguez Pérez,,,,,,,,,
1,1971,Xerez,Santander,1-0,Manuel Serrano Pichardo,José Diego Román Relinque,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,José Luis Hernández Martínez,Rafael Verdú Beramendi,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,José Benito Yáñiz Goñi,Rafael Sánchez del Pozo,José Ravelo Rodríguez,Francisco Ortiz de Zárate Ruiz,José Luis Domínguez Pérez,,,,,,,,,
0,1971,Castellón,Xerez,3-0,José Ramón García Fernández,José Diego Román Relinque,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,José Luis Hernández Martínez,Rafael Verdú Beramendi,Eduardo González Ruiz,Rafael Sánchez del Pozo,Francisco Ortiz de Zárate Ruiz,José Sánchez Benítez,José Ravelo Rodríguez,José Benito Yáñiz Goñi,José Manuel Sertucha Ereñozaga,,,,,,,,,
0,1971,Cartagena,Xerez,1-0,José Ramón García Fernández,José Manuel Sertucha Ereñozaga,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,José Sánchez Fernández,Rafael Guillén Castañeda,Eduardo Beigveder Merino,Eduardo González Ruiz,José Sánchez Benítez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Benito Yáñiz Goñi,,,,,,,,,,
0,1971,Xerez,Pontevedra,1-1,José Ramón García Fernández,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,José Sánchez Fernández,Rafael Verdú Beramendi,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,Rafael Sánchez del Pozo,José Ravelo Rodríguez,Francisco Ortiz de Zárate Ruiz,José Luis Domínguez Pérez,Francisco Jiménez Martín,José Manuel Sertucha Ereñozaga,,,,,,,,,
0,1971,Zaragoza,Xerez,2-0,José Ramón García Fernández,José Diego Román Relinque,Ernesto Fernández Pérez,José Sánchez Fernández,José Luis Hernández Martínez,Rafael Verdú Beramendi,Eduardo González Ruiz,José Luis Domínguez Pérez,José Ravelo Rodríguez,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,José Sánchez Benítez,Francisco Jiménez Martín,,,,,,,,,
0,1971,Xerez,Cartagena,0-0,José Ramón García Fernández,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,José Sánchez Fernández,Rafael Verdú Beramendi,Eduardo González Ruiz,José Luis Domínguez Pérez,José Ravelo Rodríguez,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,José Sánchez Benítez,José Benito Yáñiz Goñi,,,,,,,,,,
0,1971,Tenerife,Xerez,3-0,José Ramón García Fernández,José Diego Román Relinque,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,José Sánchez Fernández,Eduardo González Ruiz,Francisco Jiménez Martín,Yanko Daučík Ciboch,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Luis Domínguez Pérez,José Sánchez Benítez,,,,,,,,,
0,1971,Xerez,Mestalla,1-1,José Ramón García Fernández,José Diego Román Relinque,Ernesto Fernández Pérez,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,Francisco Jiménez Martín,Yanko Daučík Ciboch,José Luis Domínguez Pérez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Sánchez Benítez,Manuel Prieto Valenzuela,Rafael Verdú Beramendi,,,,,,,,,
0,1971,San Andrés,Xerez,2-1,José Ramón García Fernández,José Diego Román Relinque,José Manuel Sertucha Ereñozaga,Manuel Prieto Valenzuela,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,Francisco Jiménez Martín,Yanko Daučík Ciboch,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,José Sánchez Benítez,Ernesto Fernández Pérez,José Luis Domínguez Pérez,,,,,,,,,
1,1971,Xerez,Langreo,2-1,José Ramón García Fernández,José Diego Román Relinque,Ernesto Fernández Pérez,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,Francisco Jiménez Martín,Yanko Daučík Ciboch,José Luis Domínguez Pérez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Sánchez Benítez,Rafael Verdú Beramendi,Juan Garrido Valencia,,,,,,,,,
0,1971,Ferrol,Xerez,2-1,José Ramón García Fernández,José Diego Román Relinque,Ernesto Fernández Pérez,Eduardo González Ruiz,Matías Miguel Tugores Ferrer,Rafael Sánchez del Pozo,Yanko Daučík Ciboch,José Luis Domínguez Pérez,Juan Garrido Valencia,José Ravelo Rodríguez,José Sánchez Benítez,Francisco Jiménez Martín,Rafael Verdú Beramendi,,,,,,,,,
0,1971,Xerez,Hércules,0-1,José Ramón García Fernández,José Diego Román Relinque,Ernesto Fernández Pérez,José Luis Hernández Martínez,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,Francisco Ortiz de Zárate Ruiz,José Luis Domínguez Pérez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Sánchez Benítez,Eduardo González Ruiz,Yanko Daučík Ciboch,,,,,,,,,
0,1971,Villarreal,Xerez,4-0,Manuel Serrano Pichardo,Ernesto Fernández Pérez,José Luis Hernández Martínez,Eduardo González Ruiz,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,José Ravelo Rodríguez,Yanko Daučík Ciboch,José Luis Domínguez Pérez,Rafael Sánchez del Pozo,José Sánchez Benítez,José Sánchez Fernández,Francisco Ortiz de Zárate Ruiz,,,,,,,,,
0,1971,Xerez,Logroñés,0-0,José Ramón García Fernández,José Diego Román Relinque,José Sánchez Fernández,Ernesto Fernández Pérez,Matías Miguel Tugores Ferrer,Rafael Verdú Beramendi,Francisco Ortiz de Zárate Ruiz,José Luis Domínguez Pérez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Sánchez Benítez,,,,,,,,,,,
0,1971,Valladolid,Xerez,1-1,José Ramón García Fernández,José Diego Román Relinque,José Sánchez Fernández,Ernesto Fernández Pérez,Matías Miguel Tugores Ferrer,Rafael Verdú Beramendi,Eduardo González Ruiz,José Luis Domínguez Pérez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Sánchez Benítez,Francisco Jiménez Martín,,,,,,,,,,
1,1971,Xerez,Cádiz,3-0,José Ramón García Fernández,José Diego Román Relinque,José Sánchez Fernández,Ernesto Fernández Pérez,Matías Miguel Tugores Ferrer,Rafael Verdú Beramendi,Francisco Ortiz de Zárate Ruiz,José Luis Domínguez Pérez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Sánchez Benítez,Francisco Jiménez Martín,,,,,,,,,,
0,1971,Cultural Leonesa,Xerez,3-1,José Ramón García Fernández,José Diego Román Relinque,José Sánchez Fernández,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,José Luis Domínguez Pérez,Yanko Daučík Ciboch,Rafael Sánchez del Pozo,Juan Garrido Valencia,José Ravelo Rodríguez,José Sánchez Benítez,José Benito Yáñiz Goñi,Francisco Jiménez Martín,,,,,,,,,
