WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
1;1977;Algeciras;Atlético Baleares;2-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Manuel Martínez Pérez;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Salvador Asensio Ruiz;Francisco Martínez Caba;Javier Ventura Faulon;José Adolfo López Menéndez;Julio Cabello Ortega;;;;;
0;1977;Vinaroz;Algeciras;1-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Manuel Martínez Pérez;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Miguel Gallego Domínguez;Rafael Guillén Castañeda;José Adolfo López Menéndez;Francisco Martínez Caba;Julio Cabello Ortega;José Hidalgo Collado;Fernando Abelenda Rosado;;;;;
1;1977;Algeciras;Levante;2-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Manuel Martínez Pérez;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Fernando Abelenda Rosado;Miguel Gallego Domínguez;Francisco Martínez Caba;José Hidalgo Collado;Javier Ventura Faulon;Luis María Merayo Delgado;Rafael Guillén Castañeda;;;;;
0;1977;Onteniente;Algeciras;1-0;Nemesio Alonso Álvarez;Manuel Camargo Plaza;Antonio Rivas Sánchez;Manuel Martínez Pérez;Juan Herrero Cabello;Luis María Merayo Delgado;Miguel Gallego Domínguez;Gabriel Saavedra Olea;Salvador Asensio Ruiz;Francisco Martínez Caba;Javier Ventura Faulon;;;;;;;
0;1977;Algeciras;Olímpico;2-2;Nemesio Alonso Álvarez;Manuel Camargo Plaza;Antonio Rivas Sánchez;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Fernando Abelenda Rosado;Gabriel Saavedra Olea;Salvador Asensio Ruiz;Francisco Martínez Caba;Javier Ventura Faulon;José Antonio Matute Urbano;Luis María Merayo Delgado;José Hidalgo Collado;;;;;
0;1977;Algeciras;AD Ceuta;0-0;Nemesio Alonso Álvarez;Manuel Camargo Plaza;Antonio Rivas Sánchez;Manuel Martínez Pérez;Fernando Abelenda Rosado;Miguel Gallego Domínguez;Gabriel Saavedra Olea;Rafael Guillén Castañeda;Salvador Asensio Ruiz;Francisco Martínez Caba;Javier Ventura Faulon;Luis María Merayo Delgado;;;;;;
1;1977;Gerona;Algeciras;0-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Antonio Rivas Sánchez;Manuel Camargo Plaza;Miguel Loza Gallego;Manuel Martínez Pérez;Fernando Abelenda Rosado;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Francisco Martínez Caba;Javier Ventura Faulon;José Hidalgo Collado;Julio Cabello Ortega;;;;;
0;1977;Linares CF;Algeciras;0-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Manuel Martínez Pérez;Fernando Abelenda Rosado;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Francisco Martínez Caba;Javier Ventura Faulon;José Hidalgo Collado;Gabriel Saavedra Olea;;;;;
1;1977;Algeciras;San Andrés;1-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Manuel Martínez Pérez;Luis María Merayo Delgado;Fernando Abelenda Rosado;Francisco Martínez Caba;Julio Cabello Ortega;Javier Ventura Faulon;Gabriel Saavedra Olea;José Hidalgo Collado;;;;;
0;1977;Barcelona Atlético;Algeciras;1-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Antonio Rivas Sánchez;Manuel Martínez Pérez;Gabriel Saavedra Olea;Miguel Gallego Domínguez;Antonio Vargas Quijada;Francisco Martínez Caba;Julio Cabello Ortega;Javier Ventura Faulon;Luis María Merayo Delgado;Salvador Asensio Ruiz;;;;;
