WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
0,1970,Córdoba,Deportivo de La Coruña,1-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,José Rodríguez Martínez,Ángel Rodríguez Torres,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,José Tomás Escalante Bermejo,,,,,,,,,,,
1,1970,Moscardó,Córdoba,0-2,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,José Tomás Escalante Bermejo,Antonio Carlos Rodríguez Ribeiro,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Carmelo Salas Tavira,Diego Moreno Gavilán,,,,,,,,,,
1,1970,Córdoba,Hércules,2-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Rafael Cepas Robles,José Tomás Escalante Bermejo,,,,,,,,,,
0,1970,Castellón,Córdoba,1-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,José Tomás Escalante Bermejo,,,,,,,,,,,
0,1971,Deportivo de La Coruña,Córdoba,3-2,Miguel Ángel Molina Pons,Manuel Ruiz Juárez,Ángel Rodríguez Torres,Manuel Sanchis Martínez,José Fermín Gutiérrez Martín,Francisco Causanilles Puchol,Juan Carlos Rojas Díaz,Antonio Alarcón Vergara,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Manuel Garrido Sevilla,,,,,,,,,,,
0,1971,Córdoba,Sevilla,1-1,Miguel Ángel Molina Pons,Ángel Rodríguez Torres,Manuel López Prieto,Manuel Sanchis Martínez,Diego Moreno Gavilán,José Fermín Gutiérrez Martín,Francisco Causanilles Puchol,Juan Carlos Rojas Díaz,Antonio Alarcón Vergara,Ramón Tejada Acuña,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,,,,,,,,,,,
0,1971,Burgos,Córdoba,1-0,Miguel Ángel Molina Pons,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Prieto,Manuel Sanchis Martínez,Diego Moreno Gavilán,José Fermín Gutiérrez Martín,Francisco Causanilles Puchol,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,,,,,,,,,,,
0,1971,Córdoba,Real Madrid,2-2,Miguel Ángel Molina Pons,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Prieto,Manuel Sanchis Martínez,Diego Moreno Gavilán,Francisco Causanilles Puchol,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Antonio Alarcón Vergara,,,,,,,,,,
0,1971,Córdoba,CD Málaga,0-0,Miguel Ángel Molina Pons,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Prieto,Manuel Sanchis Martínez,Diego Moreno Gavilán,Francisco Causanilles Puchol,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,Juan Campos Ignacio,Antonio Alarcón Vergara,Manuel Garrido Sevilla,Antonio Marín Ruz,,,,,,,,
0,1971,Real Sociedad,Córdoba,2-1,Miguel Ángel Molina Pons,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Prieto,Manuel Sanchis Martínez,Diego Moreno Gavilán,Francisco Causanilles Puchol,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,José Fermín Gutiérrez Martín,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Juan Campos Ignacio,Rafael Cepas Robles,Antonio Alarcón Vergara,,,,,,,,
1,1971,Córdoba,Español,3-1,Miguel Ángel Molina Pons,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Prieto,Manuel Sanchis Martínez,Diego Moreno Gavilán,Francisco Causanilles Puchol,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,Vicente del Bosque González,,,,,,,,,,,
0,1971,Las Palmas,Córdoba,3-0,Miguel Ángel Molina Pons,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Prieto,Manuel Sanchis Martínez,Diego Moreno Gavilán,Francisco Causanilles Puchol,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,Vicente del Bosque González,,,,,,,,,,,
0,1971,Córdoba,Sporting de Gijón,0-1,Juan Campos Ignacio,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Prieto,Manuel Sanchis Martínez,Diego Moreno Gavilán,Francisco Causanilles Puchol,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,,,,,,,,,,,
0,1971,Atlético de Madrid,Córdoba,2-2,Juan Campos Ignacio,José Rodríguez Martínez,Ángel Rodríguez Torres,Manuel López Rodríguez,Manuel Sanchis Martínez,Vicente del Bosque González,Francisco Causanilles Puchol,José Fermín Gutiérrez Martín,Juan Carlos Rojas Díaz,Ramón Tejada Acuña,Manuel de la Cuesta Martínez,José Tomás Escalante Bermejo,Manuel Cruz Ortega,,,,,,,,,,
