WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
1;1974;Mirandés;Palencia CF;3-0;José Muñoz Sarasola;José Usle Expósito;Ángel María Arguiñano Casasola;Miguel Ángel Lecumberri Arraiza;Guillermo de Haro López;Carlos Braceras Gorostiza;Alberto Díez Santamaría;Francisco Román;Miguel Ángel Pérez Navares;Isaac Iruarrizaga Puerta;Agustín Azcona Cacho;Carmelo Andueza San Martín;;;;;;
0;1974;Palencia CF;Mirandés;2-0;José Muñoz Sarasola;José Usle Expósito;Ángel María Arguiñano Casasola;Miguel Ángel Lecumberri Arraiza;Guillermo de Haro López;Víctor Díez Gutiérrez;Carlos Braceras Gorostiza;Alberto Díez Santamaría;Isaac Iruarrizaga Puerta;Luis María Muñoz Villafáfila;Agustín Azcona Cacho;José Antonio Celaya Zubiaur;Francisco Solanas Larburu;;;;;
0;1974;Sabadell;Mirandés;1-0;José Muñoz Sarasola;José Usle Expósito;Miguel Ángel Lecumberri Arraiza;Ángel María Arguiñano Casasola;José Antonio Celaya Zubiaur;Guillermo de Haro López;Carlos Braceras Gorostiza;Francisco Solanas Larburu;Isaac Iruarrizaga Puerta;Luis María Muñoz Villafáfila;Agustín Azcona Cacho;Jesús Ignacio Tobar Bengoa;Francisco Román;;;;;
0;1974;Mirandés;Sabadell;2-3;José Muñoz Sarasola;José Usle Expósito;Ángel María Arguiñano Casasola;Miguel Ángel Lecumberri Arraiza;Guillermo de Haro López;Alberto Díez Santamaría;Víctor Díez Gutiérrez;Carmelo Andueza San Martín;Isaac Iruarrizaga Puerta;Luis María Muñoz Villafáfila;Agustín Azcona Cacho;Rodolfo González Álamo;Miguel Ángel Pérez Navares;;;;;
1;1975;Mirandés;Sestao;3-1;José Muñoz Sarasola;José Usle Expósito;Ángel María Urdaci Zubimendi;Miguel Ángel Lecumberri Arraiza;José Antonio del Moral Buezo;Rodolfo González Álamo;Carmelo Andueza San Martín;Javier Ciáurriz Ciáurriz;Carlos Braceras Gorostiza;Luis María Muñoz Villafáfila;Agustín Azcona Cacho;Valentín Bilbao Orduña;Francisco Solanas Larburu;;;;;
0;1975;Sestao;Mirandés;3-2;José Muñoz Sarasola;José Usle Expósito;Ángel María Urdaci Zubimendi;Miguel Ángel Lecumberri Arraiza;Antonio Salazar Salazar;José Antonio del Moral Buezo;Javier Ciáurriz Ciáurriz;Carmelo Andueza San Martín;Carlos Braceras Gorostiza;Luis María Muñoz Villafáfila;Valentín Bilbao Orduña;Francisco Solanas Larburu;Agustín Azcona Cacho;;;;;
1;1975;Mirandés;Guecho;2-1;José Muñoz Sarasola;Ángel María Urdaci Zubimendi;Miguel Ángel Lecumberri Arraiza;Antonio Salazar Salazar;José Antonio del Moral Buezo;Carmelo Andueza San Martín;Javier Ciáurriz Ciáurriz;Carlos Braceras Gorostiza;Luis María Muñoz Villafáfila;Valentín Bilbao Orduña;Francisco Solanas Larburu;Rodolfo González Álamo;Guillermo de Haro López;;;;;
1;1975;Guecho;Mirandés;2-3;José Muñoz Sarasola;José Usle Expósito;Ángel María Urdaci Zubimendi;Miguel Ángel Lecumberri Arraiza;Guillermo de Haro López;Javier Ciáurriz Ciáurriz;Carmelo Andueza San Martín;Carlos Braceras Gorostiza;Francisco Solanas Larburu;Luis María Muñoz Villafáfila;Agustín Azcona Cacho;Antonio Salazar Salazar;Rodolfo González Álamo;;;;;
0;1975;Osasuna;Mirandés;3-0;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;José Usle Expósito;Ángel María Urdaci Zubimendi;Miguel Ángel Lecumberri Arraiza;Guillermo de Haro López;Javier Ciáurriz Ciáurriz;Carmelo Andueza San Martín;Carlos Braceras Gorostiza;Francisco Solanas Larburu;Valentín Bilbao Orduña;;;;;;;
1;1975;Mirandés;Osasuna;2-1;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;Ángel María Urdaci Zubimendi;José Usle Expósito;Rodolfo González Álamo;Javier Ciáurriz Ciáurriz;Carlos Braceras Gorostiza;Francisco Solanas Larburu;Luis María Muñoz Villafáfila;Valentín Bilbao Orduña;Agustín Azcona Cacho;Francisco Sanz Tudanca;Carmelo Andueza San Martín;;;;;
1;1976;Mirandés;Torrejón;1-0;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;Andoni Arriola Loyola;José Usle Expósito;Ángel María Urdaci Zubimendi;Lucas Eciolaza Goiburu;Rodolfo González Álamo;José Bernal Sánchez;Carmelo Andueza San Martín;Francisco Sanz Tudanca;Isaac Iruarrizaga Puerta;Carlos Braceras Gorostiza;Guillermo de Haro López;;;;;
1;1976;Torrejón;Mirandés;0-1;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;Andoni Arriola Loyola;Ángel María Urdaci Zubimendi;José Usle Expósito;Guillermo de Haro López;Rodolfo González Álamo;José Bernal Sánchez;Benito Alonso Frechilla;Isaac Iruarrizaga Puerta;Francisco Sanz Tudanca;;;;;;;
1;1976;Mirandés;Elche;2-0;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;Ángel María Urdaci Zubimendi;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Rodolfo González Álamo;Carmelo Andueza San Martín;Benito Alonso Frechilla;Isaac Iruarrizaga Puerta;Francisco Sanz Tudanca;Andoni Arriola Loyola;Carlos Braceras Gorostiza;;;;;
0;1976;Elche;Mirandés;3-0;José Muñoz Sarasola;Ángel Sabino Álava Dorronsoro;José Usle Expósito;Ángel María Urdaci Zubimendi;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Carlos Braceras Gorostiza;Benito Alonso Frechilla;Isaac Iruarrizaga Puerta;Francisco Sanz Tudanca;Rodolfo González Álamo;Andoni Arriola Loyola;;;;;
