WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
0,1983,CD Málaga,Eibar,2-0,José Ignacio Garmendia Mendizábal,Francisco Javier Guruceta Muro,Roberto Olaizola Bikandi,Luis María Olaizola,Iñaki Altuna Zinkunegi,Ramón Campos Izquierdo,Jokin Elezkano Revilla,José Miguel Egaña Errasti,ico,ujanda,lguezua,José María Otaduy Urcelay,,,,,,,,,,,
0,1983,Eibar,CD Málaga,1-3,José Ignacio Garmendia Mendizábal,Luis María Olaizola,Francisco Javier Guruceta Muro,Roberto Olaizola Bikandi,Iñaki Altuna Zinkunegi,José María Luluaga Altuna,Jokin Elezkano Revilla,Ramón Campos Izquierdo,José Miguel Egaña Errasti,José María Otaduy Urcelay,lguezua,José Luis Echave Mancisidor,,,,,,,,,,,
1,1984,Arenas de Getxo,Eibar,1-3,José Ignacio Garmendia Mendizábal,Roberto Olaizola Bikandi,Iñaki Altuna Zinkunegi,Bernardo Landarivar,Josu Ugarte Arregui,Ramón Campos Izquierdo,Jesús Hidalgo Bermejo,José Luis Astiazaran Iriondo,José Miguel Egaña Errasti,Mikel Yarza,,,,,,,,,,,,,
1,1984,Eibar,Arenas de Getxo,3-0,José Ignacio Garmendia Mendizábal,Miguel Ángel Fuentes Azpiroz,Roberto Olaizola Bikandi,Luis María Olaizola,Iñaki Altuna Zinkunegi,Bernardo Landarivar,Josu Ugarte Arregui,agate,Ramón Campos Izquierdo,José Miguel Egaña Errasti,José Luis Astiazaran Iriondo,,,,,,,,,,,,
0,1984,Eibar,Athletic Club,1-1,José Ignacio Garmendia Mendizábal,Miguel Ángel Fuentes Azpiroz,Roberto Olaizola Bikandi,Francisco Javier Guruceta Muro,Luis María Olaizola,Iñaki Altuna Zinkunegi,José María Luluaga Altuna,agate,Jesús Hidalgo Bermejo,José Luis Astiazaran Iriondo,José Miguel Egaña Errasti,,,,,,,,,,,,
0,1984,Athletic Club,Eibar,5-1,José Ignacio Garmendia Mendizábal,Miguel Ángel Fuentes Azpiroz,Roberto Olaizola Bikandi,Luis María Olaizola,Francisco Javier Guruceta Muro,Iñaki Altuna Zinkunegi,José María Luluaga Altuna,agate,Jesús Hidalgo Bermejo,José Luis Astiazaran Iriondo,José Miguel Egaña Errasti,Mikel Yarza,Josu Ugarte Arregui,,,,,,,,,,
1,1985,Eibar,Cultural de Durango,3-0,José Ignacio Garmendia Mendizábal,Miguel Ángel Fuentes Azpiroz,José Luis Ribera Uranga,Luis Romero Santa Cristina,José María Luluaga Altuna,Josu Ugarte Arregui,Juan Ramón Arrue Saizar,Ramón Campos Izquierdo,Jesús Hidalgo Bermejo,Juan Carlos Gómez de Segura Serna,José Miguel Egaña Errasti,Juan Antonio Martínez Apesteguia,,,,,,,,,,,
0,1985,Cultural de Durango,Eibar,2-2,José Ignacio Garmendia Mendizábal,Miguel Ángel Fuentes Azpiroz,Juan Antonio Martínez Apesteguia,Luis Romero Santa Cristina,Francisco Javier Artucha Iza,José María Luluaga Altuna,Josu Ugarte Arregui,Jesús Clemente Ochoa,Ramón Campos Izquierdo,Jesús Hidalgo Bermejo,Juan Carlos Gómez de Segura Serna,,,,,,,,,,,,
0,1985,Eibar,Basconia,0-0,José Ignacio Garmendia Mendizábal,José Luis Ribera Uranga,Juan Antonio Martínez Apesteguia,Francisco Javier Artucha Iza,José María Luluaga Altuna,Josu Ugarte Arregui,Jesús Clemente Ochoa,Juan Ramón Arrue Saizar,Ramón Campos Izquierdo,Jesús Hidalgo Bermejo,Juan Carlos Gómez de Segura Serna,Iñaki Altuna Zinkunegi,,,,,,,,,,,
1,1985,Basconia,Eibar,1-4,José Ignacio Garmendia Mendizábal,Miguel Ángel Fuentes Azpiroz,José Luis Ribera Uranga,Roberto Olaizola Bikandi,Juan Antonio Martínez Apesteguia,Luis Romero Santa Cristina,Francisco Javier Artucha Iza,Josu Ugarte Arregui,Ramón Campos Izquierdo,Jesús Hidalgo Bermejo,Juan Carlos Gómez de Segura Serna,Juan Ramón Arrue Saizar,Iñaki Altuna Zinkunegi,,,,,,,,,,
0,1985,Eibar,Zaragoza,1-2,José Ignacio Garmendia Mendizábal,Miguel Ángel Fuentes Azpiroz,José Luis Ribera Uranga,Roberto Olaizola Bikandi,Luis María Olaizola,Juan Antonio Martínez Apesteguia,Juan Ramón Arrue Saizar,Josu Ugarte Arregui,Ramón Campos Izquierdo,Jesús Hidalgo Bermejo,Juan Carlos Gómez de Segura Serna,Luis Romero Santa Cristina,,,,,,,,,,,
0,1985,Zaragoza,Eibar,3-0,José Ignacio Garmendia Mendizábal,Miguel Ángel Fuentes Azpiroz,Iñaki Altuna Zinkunegi,José Luis Ribera Uranga,Roberto Olaizola Bikandi,Luis María Olaizola,Juan Antonio Martínez Apesteguia,Juan Ramón Arrue Saizar,Jesús Clemente Ochoa,Ramón Campos Izquierdo,Jesús Hidalgo Bermejo,Juan Carlos Gómez de Segura Serna,Josu Ugarte Arregui,,,,,,,,,,
0,1986,Granada,Eibar,2-0,José Ignacio Garmendia Mendizábal,Roberto Olaizola Bikandi,Iñaki Altuna Zinkunegi,hemari,Juan Antonio Martínez Apesteguia,José María Luluaga Altuna,Juan Ignacio Azkargorta Uriarte,Iñaki Martínez Rubio,Miguel Ángel Fuentes Azpiroz,José Miguel Egaña Errasti,Juan Carlos Gómez de Segura Serna,Jesús Hidalgo Bermejo,Josu Ugarte Arregui,,,,,,,,,,
1,1986,Eibar,Albacete,3-0,José Ignacio Garmendia Mendizábal,José Luis Ribera Uranga,Roberto Olaizola Bikandi,Juan Antonio Martínez Apesteguia,Francisco Javier Artucha Iza,Julio Tejero Ruiz,Juan Ignacio Azkargorta Uriarte,Iñaki Martínez Rubio,Jesús Hidalgo Bermejo,Miguel Ángel Fuentes Azpiroz,Juan Carlos Gómez de Segura Serna,Iñaki Altuna Zinkunegi,José Miguel Egaña Errasti,,,,,,,,,,
0,1986,Cultural de Durango,Eibar,1-1,José Ignacio Garmendia Mendizábal,Roberto Olaizola Bikandi,Iñaki Altuna Zinkunegi,Juan Antonio Martínez Apesteguia,Julio Tejero Ruiz,Iñaki Martínez Rubio,Juan Ramón Arrue Saizar,José María Luluaga Altuna,Jesús Hidalgo Bermejo,Miguel Ángel Fuentes Azpiroz,Juan Carlos Gómez de Segura Serna,Juan Antonio Martínez de Luco Zubikaray,José Miguel Egaña Errasti,,,,,,,,,,
1,1986,Orense,Eibar,0-2,José Ignacio Garmendia Mendizábal,Iñaki Altuna Zinkunegi,hemari,Roberto Olaizola Bikandi,Juan Antonio Martínez Apesteguia,José María Luluaga Altuna,Julio Tejero Ruiz,Juan Ramón Arrue Saizar,Jesús Hidalgo Bermejo,Miguel Ángel Fuentes Azpiroz,Juan Carlos Gómez de Segura Serna,Iñaki Martínez Rubio,José Miguel Egaña Errasti,,,,,,,,,,
1,1986,Eibar,Alcoyano,1-0,José Ignacio Garmendia Mendizábal,Iñaki Altuna Zinkunegi,Roberto Olaizola Bikandi,Juan Antonio Martínez Apesteguia,Francisco Javier Artucha Iza,Iñaki Martínez Rubio,Julio Tejero Ruiz,Juan Ramón Arrue Saizar,Jesús Hidalgo Bermejo,Miguel Ángel Fuentes Azpiroz,Juan Carlos Gómez de Segura Serna,José Miguel Egaña Errasti,Juan Ignacio Azkargorta Uriarte,,,,,,,,,,
