WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
0,1971,San Andrés,Cultural Leonesa,2-1,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José Prieto Valenzuela,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Manuel Ovalle Vidal,,,,,,,,,,,,
1,1971,Cultural Leonesa,Orense,1-0,Antonio Gómez Navarro,Herminio González Otero,José María González Rodríguez,Rafael Juan del Riego Villaverde,Francisco Javier Larrauri Izquierdo,Julio Piñán Nistal,Constantino Rodríguez Roldán,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Graciliano Godoy Durán,,,,,,,,,,,
0,1971,Langreo,Cultural Leonesa,4-0,Antonio Gómez Navarro,Herminio González Otero,José María González Rodríguez,Rafael Juan del Riego Villaverde,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Graciliano Godoy Durán,,,,,,,,,,,
1,1971,Cultural Leonesa,Ferrol,4-1,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José María González Rodríguez,Herminio González Otero,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Alberto Cobos Guinea,,,,,,,,,,,
0,1971,Orense,Cultural Leonesa,3-2,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José Prieto Valenzuela,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,Mariano Arias Chamorro,Francisco Villafañe Martínez,José Luis Zuazaga Arrese,,,,,,,,,,,,
0,1971,Hércules,Cultural Leonesa,4-1,Antonio Gómez Navarro,Graciliano Godoy Durán,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Feliciano Llamazares Martínez,Mariano Arias Chamorro,Francisco Villafañe Martínez,José Prieto Valenzuela,Alberto Cobos Guinea,,,,,,,,,,
1,1971,Cultural Leonesa,Villarreal,4-2,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José Prieto Valenzuela,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Alberto Cobos Guinea,Constantino Rodríguez Roldán,,,,,,,,,,
1,1971,Mallorca,Cultural Leonesa,0-2,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Rafael Juan del Riego Villaverde,José María González Rodríguez,José Antonio Casas González,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Feliciano Llamazares Martínez,Mariano Arias Chamorro,Francisco Villafañe Martínez,Francisco Javier Larrauri Izquierdo,José Rodríguez,,,,,,,,,,
0,1971,Logroñés,Cultural Leonesa,2-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Rafael Juan del Riego Villaverde,José María González Rodríguez,José Antonio Casas González,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Feliciano Llamazares Martínez,Mariano Arias Chamorro,Francisco Villafañe Martínez,Francisco Javier Larrauri Izquierdo,,,,,,,,,,,
1,1971,Cultural Leonesa,Valladolid,2-1,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Rafael Juan del Riego Villaverde,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,Feliciano Llamazares Martínez,Mariano Arias Chamorro,Francisco Villafañe Martínez,José Luis Zuazaga Arrese,Diego Fernández Yebra,,,,,,,,,,,
